🐦️｜应用多多,#genre#
摄影,http://bytedance.live.cqccn.com/__cl/cg:live/__c/sheying/__op/default/__f//index.m3u8
车迷频道,http://bytedance.live.cqccn.com/__cl/cg:live/__c/doxtv/__op/default/__f//index.m3u8
SiTV都市剧场高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/dsjcHD/__op/default/__f//index.m3u8
SiTV魅力足球高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/mlzqHD/__op/default/__f//index.m3u8
SiTV动漫秀场高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/dmxcHD/__op/default/__f//index.m3u8
SiTV游戏风云高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/yxfyHD/__op/default/__f//index.m3u8
求索纪录高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/qsjlHD/__op/default/__f//index.m3u8
CHC高清电影,http://bytedance.live.cqccn.com/__cl/cg:live/__c/chcgqdyHD/__op/default/__f//index.m3u8
CHC动作电影,http://bytedance.live.cqccn.com/__cl/cg:live/__c/chcdzdyHD/__op/default/__f//index.m3u8
CHC家庭影院,http://bytedance.live.cqccn.com/__cl/cg:live/__c/chcjtyyHD/__op/default/__f//index.m3u8
CCTV风云剧场高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/fyjcHD/__op/default/__f//index.m3u8
CCTV风云音乐高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/fyyyHD/__op/default/__f//index.m3u8
CCTV风云足球高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/fyzqHD/__op/default/__f//index.m3u8
CCTV怀旧剧场高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/hjjcHD/__op/default/__f//index.m3u8
CCTV第一剧场高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/diyijuchangHD/__op/default/__f//index.m3u8
CCTV兵器科技高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/bqkjHD/__op/default/__f//index.m3u8


🇨🇳｜央视--8K,#genre#
CCTV-1 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8
CCTV-2 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8
CCTV-3 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8
CCTV-4 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv4HD/__op/default/__f/index.m3u8
CCTV-4K,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/CCTV4K/__op/default/__f/index.m3u8
CCTV-5 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv5HD/__op/default/__f/index.m3u8
CCTV-6 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv6HD/__op/default/__f/index.m3u8
CCTV-7 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv7HD/__op/default/__f/index.m3u8
CCTV-8 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv8HD/__op/default/__f/index.m3u8
CCTV-9 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv9HD/__op/default/__f/index.m3u8
CCTV-10 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv10HD/__op/default/__f/index.m3u8
CCTV-11 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv11HD/__op/default/__f/index.m3u8
CCTV-12 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv12HD/__op/default/__f/index.m3u8
CCTV-13 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctvnewsHD/__op/default/__f/index.m3u8
CCTV-14 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctvseHD/__op/default/__f/index.m3u8
CCTV-15 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv15HD/__op/default/__f/index.m3u8
CCTV-16 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv16HD/__op/default/__f/index.m3u8
CCTV16-4K,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/CCTV16_4K/__op/default/__f/index.m3u8
CCTV-17 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv17HD/__op/default/__f/index.m3u8
CCTV风云剧场,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/shandongHD/__op/default/__f/index.m3u8
CCTV风云剧场高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/fyjcHD/__op/default/__f/index.m3u8
CCTV风云音乐高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/fyyyHD/__op/default/__f/index.m3u8
CCTV风云足球高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/fyzqHD/__op/default/__f/index.m3u8
CCTV怀旧剧场高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/hjjcHD/__op/default/__f/index.m3u8
CCTV第一剧场高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/diyijuchangHD/__op/default/__f/index.m3u8
CCTV兵器科技高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/bqkjHD/__op/default/__f/index.m3u8
书画,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/shuhua/__op/default/__f/index.m3u8
摄影,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/sheying/__op/default/__f/index.m3u8
车迷频道,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/doxtv/__op/default/__f/index.m3u8
求索纪录高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/qsjlHD/__op/default/__f/index.m3u8
🇨🇳｜央视频道,#genre#
CCTV1,http://iptv.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV2,http://iptv.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV3,http://iptv.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV4,http://iptv.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV5,http://iptv.cooltv.top/tv/aishang.php?id=cctv5p
CCTV-5体育,http://iptv.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV6,http://iptv.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV7,http://iptv.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV8,http://iptv.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV9,http://iptv.cooltv.top/tv/aishang.php?id=cctv9hd2
CCTV10,http://iptv.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV11,http://iptv.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV12,http://iptv.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV13,http://iptv.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV14,http://iptv.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV15,http://iptv.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV16,http://iptv.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV17,http://iptv.cooltv.top/tv/aishang.php?id=cctv17hd
CCTV-4K,http://iptv.cooltv.top/tv/cctv4k_backup.php
CCTV16-4K,http://iptv.cooltv.top/tv/aishang.php?id=cctv164k
CGTN,http://iptv.cooltv.top/tv/aishang.php?id=cgtnhd
CCTV1,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV2,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV3,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV5+,http://live.cooltv.top/tv/aishang.php?id=cctv5p
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV7,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV8,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV9,http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV10,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV11,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV12,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV13,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV14,http://live.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV15,http://live.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv164k4K
CCTV17,http://live.cooltv.top/tv/aishang.php?id=cctv17hd
CHC高清电影,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/chcgqdyHD/__op/default/__f/index.m3u8
CHC动作电影,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/chcdzdyHD/__op/default/__f/index.m3u8
CHC家庭影院,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/chcjtyyHD/__op/default/__f/index.m3u8
CHC动作电影,http://125.40.191.58:9901/tsfile/live/1002_1.m3u8
CHC家庭影院,http://125.40.191.58:9901/tsfile/live/1001_1.m3u8
CHC高清电影,http://gxfrg007.8800.org:8282/tsfile/live/1097_1.m3u8

CCTV1,https://live.v1.mk/aishang/cctv1hd
CCTV2,https://live.v1.mk/aishang/cctv2hd
CCTV3,https://live.v1.mk/aishang/cctv3hd
CCTV4,https://live.v1.mk/aishang/cctv4hd
CCTV5,https://live.v1.mk/aishang/cctv5hd
CCTV5+,https://live.v1.mk/aishang/cctv5p
CCTV6,https://live.v1.mk/aishang/cctv6hd
CCTV7,https://live.v1.mk/aishang/cctv7hd
CCTV8,https://live.v1.mk/aishang/cctv8hd
CCTV9,https://live.v1.mk/aishang/cctv9hd2
CCTV10,https://live.v1.mk/aishang/cctv10hd
CCTV11,https://live.v1.mk/aishang/cctv11hd
CCTV12,https://live.v1.mk/aishang/cctv12hd
CCTV13,https://live.v1.mk/aishang/cctv13hd
CCTV14,https://live.v1.mk/aishang/cctv14hd
CCTV15,https://live.v1.mk/aishang/cctv15hd
CCTV16,https://live.v1.mk/aishang/cctv16hd
CCTV17,https://live.v1.mk/aishang/cctv17hd
CGTN,https://live.v1.mk/aishang/cgtnhd
CCTV1,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv1HD/__op/default/__f//index.m3u8
CCTV2,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv2HD/__op/default/__f//index.m3u8
CCTV3,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv3HD/__op/default/__f//index.m3u8
CCTV4,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv4HD/__op/default/__f//index.m3u8
CCTV5,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv5HD/__op/default/__f//index.m3u8
CCTV5+,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv5SportHD/__op/default/__f//index.m3u8
CCTV6,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8
CCTV7,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//index.m3u8
CCTV8,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//index.m3u8
CCTV9,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//index.m3u8
CCTV10,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv10HD/__op/default/__f//index.m3u8
CCTV11,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv11HD/__op/default/__f//index.m3u8
CCTV12,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//index.m3u8
CCTV13,http://bytedance.live.cqccn.com/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f//index.m3u8
CCTV14,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctvseHD/__op/default/__f//index.m3u8
CCTV15,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv15HD/__op/default/__f//index.m3u8
CCTV16,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv16HD/__op/default/__f//index.m3u8
CCTV16,http://bytedance.live.cqccn.com/__cl/cg:live/__c/CCTV16_4K/__op/default/__f//index.m3u84K
CCTV17,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv17HD/__op/default/__f//index.m3u8
CCTV1,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv1_2/index.m3u8
CCTV2,http://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv2_2/index.m3u8
CCTV5,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv5_2/index.m3u8
CCTV13,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv13_2/index.m3u8

CCTV1,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/600/index.m3u8?&encrypt=
CCTV2,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/600/index.m3u8?&encrypt=
CCTV3,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?&encrypt=
CCTV4,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/600/index.m3u8?&encrypt=
CCTV5,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/600/index.m3u8?&encrypt=
CCTV5+,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdplusnew/600/index.m3u8?&encrypt=
CCTV6,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/1000/index.m3u8?&encrypt=
CCTV7,http://1.189.99.196/hlsmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/50/index.m3u8?&encrypt=
CCTV8,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/1000/index.m3u8?&encrypt=
CCTV9,http://1.189.99.196/hlsmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/50/index.m3u8?&encrypt=
CCTV10,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/1000/index.m3u8?&encrypt=
CCTV11,http://1.189.99.196/hlsmgsplive.miguvideo.com/migu/kailu/cctv11hd/50/20200103/index.m3u8?&encrypt=
CCTV12,http://1.189.99.196/hlsmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/50/index.m3u8?&encrypt=
CCTV13,http://1.189.99.196/hlsmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13hd/1000/index.m3u8?&encrypt=
CCTV14,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/1000/index.m3u8?&encrypt=
CCTV15,http://1.189.99.196/hlsmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/50/index.m3u8?&encrypt=
CCTV17,http://1.189.99.196/hlsmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/50/index.m3u8?&encrypt=

CCTV1,http://live.cooltv.top/tv/aishang.php?id=cctv1
CCTV2,http://live.cooltv.top/tv/aishang.php?id=cctv2
CCTV3,http://live.cooltv.top/tv/aishang.php?id=cctv3
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6
CCTV7,http://live.cooltv.top/tv/aishang.php?id=cctv7
CCTV8,http://live.cooltv.top/tv/aishang.php?id=cctv8
CCTV9,http://live.cooltv.top/tv/aishang.php?id=cctv9
CCTV10,http://live.cooltv.top/tv/aishang.php?id=cctv10
CCTV11,http://live.cooltv.top/tv/aishang.php?id=cctv11
CCTV12,http://live.cooltv.top/tv/aishang.php?id=cctv12
CCTV13,http://live.cooltv.top/tv/aishang.php?id=cctv13
CCTV14,http://live.cooltv.top/tv/aishang.php?id=cctv14
CCTV15,http://live.cooltv.top/tv/aishang.php?id=cctv15
CCTV17,http://live.cooltv.top/tv/aishang.php?id=cctv17

CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
CCTV1,http://xjayrf.eatuo.com:9901/tsfile/live/1020_1.m3u8
CCTV2,http://xjayrf.eatuo.com:9901/tsfile/live/1021_1.m3u8
CCTV3,http://xjayrf.eatuo.com:9901/tsfile/live/1022_1.m3u8
CCTV4,http://xjayrf.eatuo.com:9901/tsfile/live/1023_1.m3u8
